arxiv_id	year	source_group	tags	title	authors	categories	pdf_path	zotero_status
2011.12948	2021	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	Nerfies: Deformable Neural Radiance Fields	Keunhong Park; Utkarsh Sinha; Jonathan T. Barron; Sofien Bouaziz; Dan B Goldman; Steven M. Seitz; Ricardo Martin-Brualla	cs.CV cs.GR	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2021_Nerfies_Deformable_Neural_Radiance_Fields_2011.12948.pdf	imported
2112.00724	2021	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	RegNeRF: Regularizing Neural Radiance Fields for View Synthesis from Sparse Inputs	Michael Niemeyer; Jonathan T. Barron; Ben Mildenhall; Mehdi S. M. Sajjadi; Andreas Geiger; Noha Radwan	cs.CV cs.AI cs.GR	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2021_RegNeRF_Regularizing_Neural_Radiance_Fields_for_View_Synthesis_from_Sparse_Inputs_2112.00724.pdf	imported
2106.12052	2021	curated-pre2026	Codex:3D4D-Reconstruction	Volume Rendering of Neural Implicit Surfaces	Lior Yariv; Jiatao Gu; Yoni Kasten; Yaron Lipman	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2021_Volume_Rendering_of_Neural_Implicit_Surfaces_2106.12052.pdf	imported
2108.10869	2022	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	DROID-SLAM: Deep Visual SLAM for Monocular, Stereo, and RGB-D Cameras	Zachary Teed; Jia Deng	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2022_DROID_SLAM_Deep_Visual_SLAM_for_Monocular_Stereo_and_RGB_D_Cameras_2108.10869.pdf	imported
2111.12077	2022	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	Mip-NeRF 360: Unbounded Anti-Aliased Neural Radiance Fields	Jonathan T. Barron; Ben Mildenhall; Dor Verbin; Pratul P. Srinivasan; Peter Hedman	cs.CV cs.GR	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2022_Mip_NeRF_360_Unbounded_Anti_Aliased_Neural_Radiance_Fields_2111.12077.pdf	imported
2112.12130	2022	curated-pre2026	Codex:3D4D-Reconstruction	NICE-SLAM: Neural Implicit Scalable Encoding for SLAM	Zihan Zhu; Songyou Peng; Viktor Larsson; Weiwei Xu; Hujun Bao; Zhaopeng Cui; Martin R. Oswald; Marc Pollefeys	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2022_NICE_SLAM_Neural_Implicit_Scalable_Encoding_for_SLAM_2112.12130.pdf	imported
2103.02597	2022	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	Neural 3D Video Synthesis from Multi-view Video	Tianye Li; Mira Slavcheva; Michael Zollhoefer; Simon Green; Christoph Lassner; Changil Kim; Tanner Schmidt; Steven Lovegrove; Michael Goesele; Richard Newcombe; Zhaoyang Lv	cs.CV cs.GR	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2022_Neural_3D_Video_Synthesis_from_Multi_view_Video_2103.02597.pdf	imported
2201.05989	2022	curated-pre2026	Codex:3D4D-Reconstruction	Instant Neural Graphics Primitives with a Multiresolution Hash Encoding	Thomas Müller; Alex Evans; Christoph Schied; Alexander Keller	cs.CV cs.GR cs.LG	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2022_Instant_Neural_Graphics_Primitives_with_a_Multiresolution_Hash_Encoding_2201.05989.pdf	imported
2205.15285	2022	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	Fast Dynamic Radiance Fields with Time-Aware Neural Voxels	Jiemin Fang; Taoran Yi; Xinggang Wang; Lingxi Xie; Xiaopeng Zhang; Wenyu Liu; Matthias Nießner; Qi Tian	cs.CV cs.GR	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2022_Fast_Dynamic_Radiance_Fields_with_Time_Aware_Neural_Voxels_2205.15285.pdf	imported
2209.14988	2022	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	DreamFusion: Text-to-3D using 2D Diffusion	Ben Poole; Ajay Jain; Jonathan T. Barron; Ben Mildenhall	cs.CV cs.LG stat.ML	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2022_DreamFusion_Text_to_3D_using_2D_Diffusion_2209.14988.pdf	imported
2206.00665	2022	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	MonoSDF: Exploring Monocular Geometric Cues for Neural Implicit Surface Reconstruction	Zehao Yu; Songyou Peng; Michael Niemeyer; Torsten Sattler; Andreas Geiger	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2022_MonoSDF_Exploring_Monocular_Geometric_Cues_for_Neural_Implicit_Surface_Reconstruction_2206.00665.pdf	imported
2106.10689	2023	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	NeuS: Learning Neural Implicit Surfaces by Volume Rendering for Multi-view Reconstruction	Peng Wang; Lingjie Liu; Yuan Liu; Christian Theobalt; Taku Komura; Wenping Wang	cs.CV cs.GR	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2023_NeuS_Learning_Neural_Implicit_Surfaces_by_Volume_Rendering_for_Multi_view_Reconstruction_2106.10689.pdf	imported
2303.11328	2023	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	Zero-1-to-3: Zero-shot One Image to 3D Object	Ruoshi Liu; Rundi Wu; Basile Van Hoorick; Pavel Tokmakov; Sergey Zakharov; Carl Vondrick	cs.CV cs.GR cs.RO	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2023_Zero_1_to_3_Zero_shot_One_Image_to_3D_Object_2303.11328.pdf	imported
2301.10241	2023	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	K-Planes: Explicit Radiance Fields in Space, Time, and Appearance	Sara Fridovich-Keil; Giacomo Meanti; Frederik Warburg; Benjamin Recht; Angjoo Kanazawa	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2023_K_Planes_Explicit_Radiance_Fields_in_Space_Time_and_Appearance_2301.10241.pdf	imported
2301.09632	2023	curated-pre2026	Codex:3D4D-Reconstruction	HexPlane: A Fast Representation for Dynamic Scenes	Ang Cao; Justin Johnson	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2023_HexPlane_A_Fast_Representation_for_Dynamic_Scenes_2301.09632.pdf	imported
2308.04079	2023	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	3D Gaussian Splatting for Real-Time Radiance Field Rendering	Bernhard Kerbl; Georgios Kopanas; Thomas Leimkühler; George Drettakis	cs.GR cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2023_3D_Gaussian_Splatting_for_Real_Time_Radiance_Field_Rendering_2308.04079.pdf	imported
2308.09713	2023	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction,Codex:4D-Reconstruction	Dynamic 3D Gaussians: Tracking by Persistent Dynamic View Synthesis	Jonathon Luiten; Georgios Kopanas; Bastian Leibe; Deva Ramanan	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2023_Dynamic_3D_Gaussians_Tracking_by_Persistent_Dynamic_View_Synthesis_2308.09713.pdf	imported
2310.11448	2023	curated-pre2026	Codex:3D4D-Reconstruction	4K4D: Real-Time 4D View Synthesis at 4K Resolution	Zhen Xu; Sida Peng; Haotong Lin; Guangzhao He; Jiaming Sun; Yujun Shen; Hujun Bao; Xiaowei Zhou	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2023_4K4D_Real_Time_4D_View_Synthesis_at_4K_Resolution_2310.11448.pdf	imported
2309.13101	2023	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction,Codex:4D-Reconstruction	Deformable 3D Gaussians for High-Fidelity Monocular Dynamic Scene Reconstruction	Ziyi Yang; Xinyu Gao; Wen Zhou; Shaohui Jiao; Yuqing Zhang; Xiaogang Jin	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2023_Deformable_3D_Gaussians_for_High_Fidelity_Monocular_Dynamic_Scene_Reconstruction_2309.13101.pdf	imported
2402.05054	2024	curated-pre2026	Codex:3D4D-Reconstruction	LGM: Large Multi-View Gaussian Model for High-Resolution 3D Content Creation	Jiaxiang Tang; Zhaoxi Chen; Xiaokang Chen; Tengfei Wang; Gang Zeng; Ziwei Liu	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2024_LGM_Large_Multi_View_Gaussian_Model_for_High_Resolution_3D_Content_Creation_2402.05054.pdf	imported
2312.16812	2024	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction,Codex:4D-Reconstruction	Spacetime Gaussian Feature Splatting for Real-Time Dynamic View Synthesis	Zhan Li; Zhang Chen; Zhong Li; Yi Xu	cs.CV cs.GR	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2024_Spacetime_Gaussian_Feature_Splatting_for_Real_Time_Dynamic_View_Synthesis_2312.16812.pdf	imported
2309.03453	2024	curated-pre2026	Codex:3D4D-Reconstruction	SyncDreamer: Generating Multiview-consistent Images from a Single-view Image	Yuan Liu; Cheng Lin; Zijiao Zeng; Xiaoxiao Long; Lingjie Liu; Taku Komura; Wenping Wang	cs.CV cs.AI cs.GR	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2024_SyncDreamer_Generating_Multiview_consistent_Images_from_a_Single_view_Image_2309.03453.pdf	imported
2405.10314	2024	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	CAT3D: Create Anything in 3D with Multi-View Diffusion Models	Ruiqi Gao; Aleksander Holynski; Philipp Henzler; Arthur Brussee; Ricardo Martin-Brualla; Pratul Srinivasan; Jonathan T. Barron; Ben Poole	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2024_CAT3D_Create_Anything_in_3D_with_Multi_View_Diffusion_Models_2405.10314.pdf	imported
2406.09756	2024	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	Grounding Image Matching in 3D with MASt3R	Vincent Leroy; Yohann Cabon; Jérôme Revaud	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2024_Grounding_Image_Matching_in_3D_with_MASt3R_2406.09756.pdf	imported
2310.08528	2024	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction,Codex:4D-Reconstruction	4D Gaussian Splatting for Real-Time Dynamic Scene Rendering	Guanjun Wu; Taoran Yi; Jiemin Fang; Lingxi Xie; Xiaopeng Zhang; Wei Wei; Wenyu Liu; Qi Tian; Xinggang Wang	cs.CV cs.GR	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2024_4D_Gaussian_Splatting_for_Real_Time_Dynamic_Scene_Rendering_2310.08528.pdf	existing
2312.14132	2024	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	DUSt3R: Geometric 3D Vision Made Easy	Shuzhe Wang; Vincent Leroy; Yohann Cabon; Boris Chidlovskii; Jerome Revaud	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2024_DUSt3R_Geometric_3D_Vision_Made_Easy_2312.14132.pdf	existing
2503.11651	2025	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	VGGT: Visual Geometry Grounded Transformer	Jianyuan Wang; Minghao Chen; Nikita Karaev; Andrea Vedaldi; Christian Rupprecht; David Novotny	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2025_VGGT_Visual_Geometry_Grounded_Transformer_2503.11651.pdf	imported
2410.03825	2025	curated-pre2026	Codex:3D4D-Reconstruction	MonST3R: A Simple Approach for Estimating Geometry in the Presence of Motion	Junyi Zhang; Charles Herrmann; Junhwa Hur; Varun Jampani; Trevor Darrell; Forrester Cole; Deqing Sun; Ming-Hsuan Yang	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2025_MonST3R_A_Simple_Approach_for_Estimating_Geometry_in_the_Presence_of_Motion_2410.03825.pdf	imported
2503.18945	2025	curated-pre2026	Codex:3D4D-Reconstruction	Aether: Geometric-Aware Unified World Modeling	Aether Team; Haoyi Zhu; Yifan Wang; Jianjun Zhou; Wenzheng Chang; Yang Zhou; Zizun Li; Junyi Chen; Chunhua Shen; Jiangmiao Pang; Tong He	cs.CV cs.AI cs.LG cs.RO	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2025_Aether_Geometric_Aware_Unified_World_Modeling_2503.18945.pdf	existing
2602.19182	2025	2026-arxiv	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	Thin Plate Spline Surface Reconstruction via the Method of Matched Sections	Igor Orynyak; Kirill Danylenko; Danylo Tavrov	cs.GR cs.NA math.NA	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2025_Thin_Plate_Spline_Surface_Reconstruction_via_the_Method_of_Matched_Sections_2602.19182.pdf	imported
2602.06044	2025	2026-arxiv	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	COSMOS: Coherent Supergaussian Modeling with Spatial Priors for Sparse-View 3D Splatting	Chaeyoung Jeong; Kwangsu Kim	eess.IV cs.CV cs.GR	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2025_COSMOS_Coherent_Supergaussian_Modeling_with_Spatial_Priors_for_Sparse_View_3D_Splatting_2602.06044.pdf	imported
2601.00012	2025	2026-arxiv	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	Neural Brain Fields: A NeRF-Inspired Approach for Generating Nonexistent EEG Electrodes	Shahar Ain Kedem; Itamar Zimerman; Eliya Nachmani	eess.SP cs.AI cs.CV cs.LG eess.AS	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2025_Neural_Brain_Fields_A_NeRF_Inspired_Approach_for_Generating_Nonexistent_EEG_Electrodes_2601.00012.pdf	imported
2603.15622	2025	2026-arxiv	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	SAC-NeRF: Adaptive Ray Sampling for Neural Radiance Fields via Soft Actor-Critic Reinforcement Learning	Chenyu Ge	cs.CV cs.AI	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2025_SAC_NeRF_Adaptive_Ray_Sampling_for_Neural_Radiance_Fields_via_Soft_Actor_Critic_Reinforcem_2603.15622.pdf	imported
2601.00051	2025	2026-arxiv	Codex:3D+4D-Evolution,Codex:3D-Reconstruction,Codex:3D4D-Reconstruction,Codex:4D-Reconstruction	TeleWorld: Towards Dynamic Multimodal Synthesis with a 4D World Model	Yabo Chen; Yuanzhi Liang; Jiepeng Wang; Tingxi Chen; Junfei Cheng; Zixiao Gu; Yuyang Huang; Zicheng Jiang; Wei Li; Tian Li; Weichen Li; Zuoxin Li; Guangce Liu; Jialun Liu; Junqi Liu; Haoyuan Wang; Qizhen Weng; Xuan'er Wu; Xunzhi Xiang; Xiaoyan Yang; Xin Zhang; Shiwen Zhang; Junyu Zhou; Chengcheng Zhou; Haibin Huang; Chi Zhang; Xuelong Li	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2025_TeleWorld_Towards_Dynamic_Multimodal_Synthesis_with_a_4D_World_Model_2601.00051.pdf	imported
2601.00913	2026	2026-arxiv	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	Clean-GS: Semantic Mask-Guided Pruning for 3D Gaussian Splatting	Subhankar Mishra	cs.CV cs.LG	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2026_Clean_GS_Semantic_Mask_Guided_Pruning_for_3D_Gaussian_Splatting_2601.00913.pdf	imported
2601.00207	2026	2026-arxiv	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	CropNeRF: A Neural Radiance Field-Based Framework for Crop Counting	Md Ahmed Al Muzaddid; William J. Beksi	cs.CV cs.RO	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2026_CropNeRF_A_Neural_Radiance_Field_Based_Framework_for_Crop_Counting_2601.00207.pdf	imported
2601.00328	2026	2026-arxiv	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	Joint Geometry-Appearance Human Reconstruction in a Unified Latent Space via Bridge Diffusion	Yingzhi Tang; Qijian Zhang; Junhui Hou	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2026_Joint_Geometry_Appearance_Human_Reconstruction_in_a_Unified_Latent_Space_via_Bridge_Diffus_2601.00328.pdf	imported
2601.00796	2026	2026-arxiv	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction,Codex:4D-Reconstruction	AdaGaR: Adaptive Gabor Representation for Dynamic Scene Reconstruction	Jiewen Chan; Zhenjun Zhao; Yu-Lun Liu	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2026_AdaGaR_Adaptive_Gabor_Representation_for_Dynamic_Scene_Reconstruction_2601.00796.pdf	imported
2601.00678	2026	2026-arxiv	Codex:3D4D-Reconstruction,Codex:4D-Reconstruction	Pixel-to-4D: Camera-Controlled Image-to-Video Generation with Dynamic 3D Gaussians	Melonie de Almeida; Daniela Ivanova; Tong Shi; John H. Williamson; Paul Henderson	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2026_Pixel_to_4D_Camera_Controlled_Image_to_Video_Generation_with_Dynamic_3D_Gaussians_2601.00678.pdf	imported
2601.01222	2026	2026-arxiv	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	UniSH: Unifying Scene and Human Reconstruction in a Feed-Forward Pass	Mengfei Li; Peng Li; Zheng Zhang; Jiahao Lu; Chengfeng Zhao; Wei Xue; Qifeng Liu; Sida Peng; Wenxiao Zhang; Wenhan Luo; Yuan Liu; Yike Guo	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2026_UniSH_Unifying_Scene_and_Human_Reconstruction_in_a_Feed_Forward_Pass_2601.01222.pdf	imported
2601.01660	2026	2026-arxiv	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	Animated 3DGS Avatars in Diverse Scenes with Consistent Lighting and Shadows	Aymen Mir; Riza Alp Guler; Jian Wang; Gerard Pons-Moll; Bing Zhou	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2026_Animated_3DGS_Avatars_in_Diverse_Scenes_with_Consistent_Lighting_and_Shadows_2601.01660.pdf	imported
2601.01431	2026	2026-arxiv	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	EdgeNeRF: Edge-Guided Regularization for Neural Radiance Fields from Sparse Views	Weiqi Yu; Yiyang Yao; Lin He; Jianming Lv	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2026_EdgeNeRF_Edge_Guided_Regularization_for_Neural_Radiance_Fields_from_Sparse_Views_2601.01431.pdf	imported
2601.01386	2026	2026-arxiv	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	ParkGaussian: Surround-view 3D Gaussian Splatting for Autonomous Parking	Xiaobao Wei; Zhangjie Ye; Yuxiang Gu; Zunjie Zhu; Yunfei Guo; Yingying Shen; Shan Zhao; Ming Lu; Haiyang Sun; Bing Wang; Guang Chen; Rongfeng Lu; Hangjun Ye	cs.CV cs.AI	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2026_ParkGaussian_Surround_view_3D_Gaussian_Splatting_for_Autonomous_Parking_2601.01386.pdf	imported
